(DroneRL) root@tuf-f16:/ros2_ws/src/nsysu_drone_control# python3 fly_straight.py 
[INFO] [1780116297.150847706] [fly_straight_controller]: 🎯 目標位置: (-9.0, 3.0, 10.0)
[INFO] [1780116297.151228700] [fly_straight_controller]: ⏳ 等待讀到無人機當前位置...
[INFO] [1780116297.931480286] [fly_straight_controller]: 📍 位置: (-0.00, 0.01, 1.10) | 剩餘: 13.01m | 速度: (-0.69, 0.23, 0.68)
[INFO] [1780116299.030844225] [fly_straight_controller]: 📍 位置: (-0.37, 0.13, 1.59) | 剩餘: 12.39m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116300.130308730] [fly_straight_controller]: 📍 位置: (-1.08, 0.37, 2.32) | 剩餘: 11.34m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116301.130617985] [fly_straight_controller]: 📍 位置: (-1.77, 0.60, 3.00) | 剩餘: 10.34m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116302.130896624] [fly_straight_controller]: 📍 位置: (-2.47, 0.83, 3.68) | 剩餘: 9.34m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116303.231593814] [fly_straight_controller]: 📍 位置: (-3.24, 1.08, 4.43) | 剩餘: 8.24m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116304.331071797] [fly_straight_controller]: 📍 位置: (-4.00, 1.34, 5.18) | 剩餘: 7.14m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116305.430715312] [fly_straight_controller]: 📍 位置: (-4.77, 1.59, 5.92) | 剩餘: 6.04m | 速度: (-0.70, 0.23, 0.68)
[INFO] [1780116306.530562701] [fly_straight_controller]: 📍 位置: (-5.54, 1.85, 6.67) | 剩餘: 4.94m | 速度: (-0.70, 0.23, 0.67)
[INFO] [1780116307.630807735] [fly_straight_controller]: 📍 位置: (-6.30, 2.10, 7.41) | 剩餘: 3.84m | 速度: (-0.70, 0.23, 0.67)
[INFO] [1780116308.631760946] [fly_straight_controller]: 📍 位置: (-7.00, 2.34, 8.09) | 剩餘: 2.84m | 速度: (-0.70, 0.23, 0.67)
[INFO] [1780116309.730322872] [fly_straight_controller]: 📍 位置: (-7.77, 2.59, 8.83) | 剩餘: 1.74m | 速度: (-0.61, 0.20, 0.59)
[INFO] [1780116310.732176549] [fly_straight_controller]: 📍 位置: (-8.40, 2.80, 9.38) | 剩餘: 0.89m | 速度: (-0.30, 0.10, 0.31)
[INFO] [1780116311.830322751] [fly_straight_controller]: 📍 位置: (-8.81, 2.94, 9.75) | 剩餘: 0.32m | 速度: (-0.10, 0.03, 0.12)
[INFO] [1780116312.230473784] [fly_straight_controller]: ✅ 抵達目標! 最終位置: (-8.91, 2.97, 9.83)
