episode,reward,length,reward_per_step
1,-308.231811893711,10000,-0.030823181189371097
2,-800.0905161446735,20000,-0.040004525807233675
3,-538.0019354059823,2831,-0.19003953917555008
4,-263.8464338677986,20000,-0.01319232169338993
5,-463.6251689232886,2019,-0.2296310891150513
6,776.2217920068651,10000,0.07762217920068651
7,1419.2636911479312,10000,0.14192636911479312
8,3417.4547273175995,6062,0.5637503674228966
9,-410.11893922746094,2026,-0.2024279068250054
10,-768.6040748596715,2001,-0.38410998243861644
11,-442.26098934106994,2018,-0.21915807202233398
12,-462.08732577145565,2018,-0.22898281752797603
13,-393.5297613268049,2017,-0.1951064756206271
14,3341.878165819129,6203,0.5387519209768062
