episode,reward,length
1,-749.9069556109607,196
2,-803.5866703893989,181
3,-870.723309405148,189
4,-807.4712717980146,175
5,-728.0145602449775,175
6,-741.0742757469416,178
7,-772.0432858616114,178
8,-791.025639384985,178
9,-727.5351796839386,177
10,-751.6630581878126,176
11,-772.112913236022,181
12,-751.7190328985453,178
13,-767.7374116443098,183
14,-756.2184617966413,175
15,-620.4366271719337,500
16,-512.7189507716685,500
17,-992.9356994940899,500
18,-383.32133493756555,500
19,-391.87344934395514,500
20,-508.4782888083719,500
21,-393.5224996826728,500
22,-368.6551173814805,500
23,-477.5123399212025,500
24,-483.09376141789835,500
25,-681.3978294075932,500
26,-640.2336850333959,500
27,-486.69807988090906,500
28,-725.4412256833166,500
29,-402.3395871547982,500
30,-241.78101419482846,500
31,-378.20130609045736,500
32,-359.41465766076,500
33,-395.3728959893924,500
34,-294.56434455141425,500
35,-355.0849515198497,500
36,-424.5056274191011,500
37,-261.75002775725443,500
38,-251.54726991581265,500
39,-325.6523115225136,500
40,-431.36521952273324,500
41,-446.7718199957162,500
42,-552.4653546554036,500
43,-452.09318389184773,500
44,-371.80756300128996,500
45,-287.1896392975468,500
46,-203.65725107924663,500
47,-308.43476655829,500
48,-256.5501896762289,500
49,-358.2628667354584,500
50,-207.10076473769732,500
51,-232.33981794537976,500
52,-430.2350303202402,500
53,113.04640794731677,91
54,-249.54729411471635,500
55,-240.11065304893418,500
56,-226.58345898392145,500
57,-196.97878334723646,500
58,-296.8472137944773,500
59,-291.14488289901055,500
60,-265.59180011600256,500
61,121.34208293119445,50
62,116.36967204604298,47
63,-346.3204021612182,500
64,-244.71968878537882,500
65,112.37556397914886,19
66,-334.8732104897499,500
67,-267.85728986241156,500
68,-217.48162085656077,500
69,75.13727058842778,56
70,-215.65061091072857,500
71,-320.81090092053637,500
72,-327.2769156760187,500
73,-302.314080087468,500
74,-54.68390466144774,294
75,-307.63398272241466,500
76,-274.4591435219627,500
77,-305.0782957993215,500
78,-391.89247942739166,500
79,-77.80865717958659,257
80,-72.68860676139593,500
81,-202.59813026338816,500
82,-301.3997840450029,500
83,166.07406873104628,500
84,-212.79694008547813,500
85,-172.21633847570047,500
86,-37.2190256845206,246
87,-83.20203386992216,327
88,-215.905739238573,500
89,-207.31144413514994,500
90,127.43100360408425,45
91,-203.26178778790927,500
92,-202.96969590242952,500
93,-229.87875411240384,500
94,-249.16710199962836,500
95,-260.17279274057364,500
96,-316.5355678056367,500
97,-89.12109404281364,450
98,-403.3139685932547,500
99,82.89110484905541,86
100,-427.53365644754376,500
101,89.60282015800476,30
102,-1012.9672419067938,332
103,-82.63148889230797,500
104,-311.07822358072735,500
105,8.943832032382488,188
106,-94.42129437532276,500
107,-266.3241590820253,500
108,88.30127451568842,57
109,-205.4631863248651,500
110,-332.425529389875,500
111,77.6974511211738,53
112,25.56822415627539,128
113,-210.3400486088358,500
114,-242.95684810285456,500
115,-271.5206651631743,500
116,112.60283165052533,63
117,-432.50769416615367,500
118,-66.56022132374346,260
119,-336.67462322837673,500
120,-259.0421282502066,500
121,-44.44215318933129,265
122,-389.28063371777534,500
123,-238.15496084280312,500
124,20.977306317538023,130
125,-137.4793729367666,378
126,-154.40491520194337,336
127,-359.3910298682749,500
128,-333.3760760575533,500
129,-338.91292597400025,500
130,-403.5626021195203,500
131,-249.25589699856937,500
132,-155.94869014248252,500
133,-203.4410677402375,500
134,-318.3597645610571,500
135,-294.74842950422317,500
136,-631.6070833615959,486
137,-248.57373176701367,500
138,-300.6651814226061,500
139,-307.9694151444128,500
140,-59.00145482458174,284
141,62.94152933359146,119
142,111.85933845490217,50
143,-256.72927204240113,500
144,-250.40104020526633,500
145,-126.0061463159509,337
146,734.4778770557605,500
147,-309.0375851262361,500
148,-246.96533800382167,500
149,-324.364383577602,500
150,-256.33243060077075,500
151,3.9185319864191115,159
152,-256.6290861897287,500
153,-487.89561089128256,500
154,-350.76837927277666,500
155,-230.76213346235454,500
156,70.44476025458425,66
157,-262.9158028084785,500
158,126.64400342851877,40
159,-884.7625608360104,500
160,76.55327958101407,65
161,-227.37155198166147,500
162,30.44424865162,147
163,-262.62688428373076,500
164,-351.10428677720483,500
165,85.89222057722509,56
166,-1097.2242974508554,500
167,-98.71214942482766,381
168,-426.02218673969037,500
169,-795.6424386361614,500
170,121.56427698209882,198
171,-332.43031957698986,500
172,31.51244532223791,156
173,106.4275300949812,73
174,12.00948129594326,176
175,-362.75380990142,500
176,-262.61428366508335,500
177,-296.652392570395,500
178,-282.65165471856017,500
179,-383.66789171565324,500
180,79.62057202681899,80
181,-40.50091611035168,214
182,-261.7763209543191,500
183,-148.1263464493677,397
184,-35.326541104353964,256
185,-236.57665670546703,500
186,89.86491311504506,48
187,-274.86543026275467,500
188,-224.47845695912838,500
189,60.438955933146644,113
190,53.425313596613705,104
191,32.538289880380034,142
192,-245.11899586208165,500
193,86.64442950394005,63
194,-296.91202437272295,500
195,80.2140662621241,78
196,-11.926093137823045,302
197,74.42645546421409,83
198,-276.7100461674854,500
199,61.05565620167181,80
200,101.9877980351448,57
201,62.54853156534955,78
202,-586.0358644225635,500
203,123.61641884315759,500
204,-3.5517671294510365,185
205,-347.42318978719413,500
206,-557.4200374138309,500
207,-489.0406389646232,500
208,84.05288228671998,39
209,-755.4723805338144,500
210,-3.6146721662953496,154
211,-37.76949867140502,266
212,-313.29147003788967,500
213,-165.82834004005417,500
214,46.74322919920087,126
215,-261.29275828207756,500
216,-268.82602195441723,500
217,-329.2108853170648,500
218,115.64071784168482,42
219,21.55620087031275,217
220,-208.43802898284048,495
221,-305.1340190230403,500
222,-233.78156489366665,500
223,54.13630033284426,96
224,97.63339902460575,48
225,-125.38952666474506,423
226,-16.721111317980103,214
227,-345.8111613141373,500
228,-1.1197760504146572,185
229,-15.961991176009178,214
230,-6.72906303673517,181
231,-217.11434046982322,470
232,-319.99974540094263,500
233,60.325294367969036,81
234,7.768939402187243,184
235,5.672547094523907,250
236,96.80681314133108,67
237,-248.86907362623606,500
238,46.00541524030268,264
239,-15.196428414899856,296
240,3.2321450549643487,152
241,-255.33702865522355,500
242,84.91274930536747,38
243,-406.5423293543281,500
244,-252.75215185736306,500
245,85.86850605905056,62
246,-25.84995086491108,198
247,91.2696066161152,79
248,-95.05056480813073,356
249,99.59253798611462,126
250,-281.3660465790599,500
251,-329.0873485659249,500
252,-358.73231782535277,500
253,-274.96573182276916,500
254,-226.41571230400587,500
255,-294.93637217301875,500
256,-19.742988841608167,225
257,-380.9243035900872,500
258,1.9203400997794233,177
259,-319.82722939038285,500
260,-1181.7249862000317,377
261,-38.01214725105092,359
262,-260.3257486820221,500
263,-265.08074654382654,500
264,-229.84365368605359,500
265,-153.41475621936843,495
266,77.18123289570212,81
267,76.13111489545554,138
