episode,reward,length
1,-643.0587336011231,500
2,81.20475566387177,17
3,-483.5228071268648,500
4,73.29009269550443,27
5,-580.6066189091653,500
6,-582.2014313894324,500
7,-494.23518292605877,500
8,-609.7050023525953,500
9,-482.99441389739513,500
10,81.84550154581666,137
11,-547.8156080022454,500
12,-550.1652958597988,500
13,-731.209556363523,500
14,-479.75262765586376,500
15,-536.6793624069542,500
16,-611.3508614599705,500
17,-550.8163894861937,500
18,-520.6064104652032,500
19,-499.44016396813095,500
20,-426.95480121392757,500
21,172.9460969865322,50
22,-547.8935960810632,500
23,-622.4102170020342,500
24,-1270.6734397523105,455
25,-982.1761480811983,180
26,-1220.8391707092524,239
27,-483.18324599042535,500
28,36.65663453517482,156
29,47.390830611257115,184
30,31.031112359836698,166
31,-227.9122138172388,500
32,-105.00660846056417,500
33,-582.4829532445183,500
34,-227.56548929819837,500
35,-190.61007538449485,500
36,-226.56516001734417,500
37,-203.4953869348392,500
38,-198.8192220441997,500
39,-192.68489765189588,500
40,-199.15115359099582,500
41,91.81379783153534,15
42,-209.1130037254079,500
43,-210.85530790267512,500
44,-78.3043316132389,500
45,-279.96431924868375,500
46,24.8943404937163,175
47,-1049.6374762712512,337
48,-252.52936507225968,500
49,-300.9801733151544,500
50,93.01629400253296,14
51,-223.82763590291142,500
52,-248.22923688578885,500
53,91.81411182880402,18
54,-243.52990843285806,500
55,-306.04010470584035,500
56,91.0532238483429,17
57,-211.33941195881926,500
58,-88.87201906135306,500
59,-300.77489576349035,500
60,-931.6979540139437,256
61,-186.07370928669116,500
62,-408.25549446837977,500
63,-350.2425156827085,500
64,59.7875392511487,59
65,-312.6803956507356,500
66,-326.7603801652058,500
67,-356.3339749223087,500
68,-278.9643713068217,500
69,69.65565998852253,54
70,66.45849062502384,54
71,-259.6091572719015,500
72,-330.7896829653764,500
73,-347.36461401358247,500
74,142.857839981094,124
75,-13.256214233115315,214
76,33.03012603498064,107
77,12.4453223280143,182
78,-429.04258103854954,500
79,189.99670811370015,59
80,-1082.9938740323705,332
81,-433.702221668791,500
82,73.37830055132508,85
83,7.224900538101792,158
84,43.1890304768458,106
85,38.59920140076429,122
86,-303.01602279860526,500
87,-295.53707725182176,500
88,-323.5062048046384,500
89,-186.9560328727821,498
90,-307.5850876074983,500
91,-12.676186254248023,198
92,-203.3039841982536,500
93,-143.96709944249596,500
94,-288.38466152874753,500
95,-49.73214275878854,457
96,33.515202139504254,126
97,-9.23513172287494,185
98,30.70181710133329,308
99,-313.3249138366082,500
100,155.17591372691095,100
101,-233.78806665027514,500
102,72.09965017437935,57
103,-1108.5841416437179,315
104,35.62800258770585,106
105,1.0421418125042692,155
106,70.12442713230848,59
107,38.66589348949492,98
108,-108.1814524801448,316
109,119.25117661245167,162
110,65.21237627789378,68
111,28.822704132646322,123
112,68.2607656493783,63
113,-99.66573987226002,500
114,58.995532986707985,83
115,23.336335552856326,144
116,35.52932274155319,255
117,57.04837539419532,71
118,-67.13783169537783,252
119,-20.300087481737137,194
120,-55.95547651965171,250
121,61.93053586734459,251
122,87.70525652170181,29
123,-50.68699234328233,208
124,87.3237212896347,29
125,-356.09022853150964,500
126,21.17632933706045,110
127,-295.52808606415056,500
128,-22.78992397384718,190
129,88.40789571404457,29
130,-29.297791339457035,209
131,-281.52744825184345,500
132,-31.103913791594096,211
133,-133.117340949364,324
134,-181.7844871915877,390
135,11.33711270056665,139
136,15.199489526450634,134
137,-33.412030164152384,207
138,-19.730362221365795,182
139,105.11091911536641,93
140,89.34623780846596,28
141,92.2662398815155,16
142,55.35268710553646,90
143,168.0073910402134,89
144,-10.133478603325784,171
145,139.86235168203712,135
146,67.79169046133757,93
147,-277.36732702096924,500
148,93.35458779335022,12
149,-293.86681310040876,500
150,50.91818234883249,190
151,68.44907647999935,245
152,87.76403687568381,31
153,92.74323296546936,11
154,67.82412393577397,67
155,181.93754710257053,105
156,56.627340274339076,82
157,84.8757862560451,35
158,144.74524007737637,127
159,93.6599428653717,13
160,72.06797727243975,67
161,58.733992559835315,75
162,-121.56669012689963,418
163,188.8950499277562,69
164,30.24561029113829,131
165,56.977563766762614,78
166,7.5608755350112915,169
167,24.563784340629354,162
168,92.61025738716125,14
169,71.81117570027709,50
170,17.351135097444057,129
171,160.19295474421233,113
172,92.1364095211029,13
173,14.339561310596764,130
174,61.719202280044556,67
175,62.23641395568848,64
176,50.19405680708587,95
177,91.68246865272522,14
