episode,reward,length
1,-827.0209187567234,500
2,-591.6702528633177,500
3,-663.4888719320297,500
4,-675.8237354680896,500
5,-639.9878195077181,500
6,-724.978050287813,500
7,-1441.999922195595,407
8,-802.0629649236798,183
9,-527.9990382501855,500
10,-462.8675785511732,500
11,-435.51114970445633,500
12,-357.26209653541446,500
13,-356.12296122312546,500
14,-313.86301240324974,500
15,-169.77942917030305,500
16,-336.1159343943,500
17,-324.0218529365957,500
18,-287.7247782498598,500
19,-311.64326245710254,500
20,-332.6461966447532,500
21,-280.38411954045296,500
22,-285.790487408638,500
23,-263.60757626220584,500
24,-244.46673360094428,500
25,-231.06188710406423,500
26,-158.6103896200657,500
27,-152.89256187528372,500
28,-161.62643995136023,500
29,-178.4064010605216,500
30,-207.23809431493282,500
31,-165.2064370214939,500
32,-230.14449433237314,500
33,-267.38774120481685,500
34,-211.43243554234505,500
35,-204.76012576650828,500
36,-212.51561219850555,500
37,-195.2139942497015,500
38,-179.30862932652235,500
39,-187.39286716282368,500
40,-181.10661427676678,500
41,-190.15116150677204,500
42,-200.355082154274,500
43,-286.11120760440826,500
44,-327.3788646608591,500
45,-223.39121870324016,500
46,-294.81885436177254,500
47,-270.81527828099206,500
48,-239.76555741904303,500
49,-163.66740301251411,500
50,-339.87336971238256,500
51,-275.8136082701385,500
52,-177.43153996765614,500
53,-272.128661372466,500
54,-300.17128270247485,500
55,-162.8462580780033,500
56,-158.92185449693352,500
57,-194.8609697073698,500
58,-136.2835097834468,500
59,-124.33367725089192,500
60,-98.59454173175618,500
61,-144.798694527708,500
62,-91.1625195153465,500
63,-32.37235816149041,500
64,-75.1135652505327,500
65,-13.612888827454299,345
66,-281.9810461211873,500
67,-144.44104165001772,500
68,195.611628995277,74
69,195.2192812357098,74
70,134.7581520555541,75
71,196.12063383311033,74
72,101.10301582631655,323
73,-51.89643786964007,356
74,-179.31084168795496,500
75,-461.8178414258873,500
76,-479.22227270901203,500
77,-269.1593038793653,500
78,-187.55457180470694,500
79,-123.11609175382182,500
80,-104.1997858286486,500
81,-212.9006566181779,500
82,-205.47307535866275,500
83,-105.8316872267169,419
84,46.246958289062604,205
85,83.89012472331524,83
86,66.69589328579605,83
87,51.121613467577845,135
88,173.60816776007414,110
89,71.10785824432969,75
90,47.54324442640063,154
91,-42.66674425965175,394
92,117.22043922264129,325
93,-124.74324919842184,334
94,64.07851791474968,152
95,-178.77645155519713,441
96,-120.29690468136687,346
97,-204.9589030118659,500
98,-114.3062912193127,500
99,-78.09770114034472,395
100,-217.45530903129838,500
101,21.718618569721002,392
102,39.748460572212934,339
103,-13.960400112089701,367
104,66.13256780710071,73
105,-96.5718891066499,434
106,135.88929153583013,207
107,62.75420827209018,99
108,86.26518159732223,81
109,82.3022079244256,88
110,39.49221803992987,212
111,-154.4989949320443,500
112,-171.1468492965214,500
113,194.0154974721372,61
114,194.8697473667562,58
115,195.67395568359643,56
116,8.750827594536531,268
117,200.09067836031318,47
118,101.55906261689961,46
119,185.30611335067078,88
120,148.68809533212334,165
121,95.3888922596816,56
122,96.03334202244878,55
123,189.63650019094348,74
124,69.55866663716733,80
125,181.4511427441612,103
126,97.12394956126809,54
127,67.37573020532727,112
128,190.68401998095214,73
129,178.60717343818396,105
130,179.581709202379,105
131,137.53666839189827,50
132,85.19044842943549,78
133,80.71001776237972,102
134,58.06346463598311,81
135,56.336575750261545,157
136,42.2601421084255,143
137,188.77590632624924,77
138,36.00868196436204,490
139,172.6546332309954,118
140,201.9972446039319,46
141,50.57612859457731,166
